Numero,Titre,Prix,Superficie,Pieces,Code postal,Ville,REGION,Prix du metre carre,Prix moyen du metre carre
336,Appartement 1 pièce 40 m²,495000,40,1,92200,Neuilly-sur-Seine,Île-de-France,12375.0,5475.549796070834
337,Appartement 2 pièces 38 m²,210000,38,2,34280,La Grande-Motte,Occitanie,5526.315789473684,3805.4817497122735
338,Appartement 2 pièces 48 m²,188000,48,2,34280,La Grande-Motte,Occitanie,3916.6666666666665,3805.4817497122735
339,Appartement 3 pièces 54 m²,260000,54,3,13006,Marseille 6,Provence-Alpes-Côte d'Azur,4814.814814814815,4259.945365227293
340,Appartement 4 pièces 81 m²,149000,81,4,84000,Avignon,Provence-Alpes-Côte d'Azur,1839.5061728395065,4259.945365227293
341,Appartement 4 pièces 80 m²,235000,80,4,91800,Brunoy,Île-de-France,2937.5,5475.549796070834
342,Appartement 3 pièces 66 m²,230000,66,3,1390,Saint-Jean-de-Thurigneux,Provence-Alpes-Côte d'Azur,3484.848484848485,4259.945365227293
343,Appartement 3 pièces 73 m²,349000,73,3,93460,Gournay-sur-Marne,Île-de-France,4780.821917808219,5475.549796070834
344,Appartement 2 pièces 48 m²,222600,48,2,77300,Fontainebleau,Île-de-France,4637.5,5475.549796070834
345,Appartement 4 pièces 76 m²,405000,76,4,92500,Rueil-Malmaison,Île-de-France,5328.9473684210525,5475.549796070834
346,Appartement 3 pièces 67 m²,155000,67,3,4170,Saint-André-les-Alpes,Centre-Val de Loire,2313.4328358208954,2450.691365675368
347,Appartement 3 pièces 107 m²,1260000,107,3,6000,Nice,Hauts-de-France,11775.70093457944,3911.574802183785
348,Appartement 4 pièces 83 m²,362000,83,4,62930,Wimereux,Hauts-de-France,4361.44578313253,3911.574802183785
349,Appartement 3 pièces 51 m²,385000,51,3,92600,Asnières-sur-Seine,Île-de-France,7549.019607843137,5475.549796070834
350,Appartement 2 pièces 50 m²,255000,50,2,14800,Deauville,Normandie,5100.0,3493.366335119261
351,Appartement 2 pièces 51 m²,190000,51,2,66700,Argelès-sur-Mer,Occitanie,3725.490196078432,3805.4817497122735
352,Appartement 1 pièce 38 m²,202000,38,1,97150,Saint Martin,,5315.789473684211,
353,Appartement 3 pièces 74 m²,67990,74,3,18000,Bourges,Centre-Val de Loire,918.7837837837836,2450.691365675368
354,Appartement 5 pièces 74 m²,215000,74,5,21000,Dijon,Bourgogne-Franche-Comté,2905.4054054054054,1972.3694248603445
355,Appartement 1 pièce 13 m²,137800,13,1,75018,Paris 18,Île-de-France,10600.0,5475.549796070834
356,Appartement 2 pièces 53 m²,131000,53,2,83780,Flayosc,Provence-Alpes-Côte d'Azur,2471.698113207547,4259.945365227293
357,Appartement 3 pièces 64 m²,45200,64,3,25600,Sochaux,Bourgogne-Franche-Comté,706.25,1972.3694248603445
358,Appartement 2 pièces 48 m²,315000,48,2,20169,Bonifacio,Corse,6562.5,4351.915385731174
359,Appartement 3 pièces 83 m²,252000,83,3,51100,Reims,Grand Est,3036.144578313253,2933.8065728363176
360,Appartement 2 pièces 47 m²,225800,47,2,33000,Bordeaux,Nouvelle-Aquitaine,4804.255319148936,4643.733694870073
361,Appartement 1 pièce 22 m²,83590,22,1,34990,Juvignac,Occitanie,3799.545454545456,3805.4817497122735
362,Appartement 2 pièces 43 m²,106590,43,2,14120,Mondeville,Normandie,2478.8372093023254,3493.366335119261
363,Appartement 5 pièces 132 m²,149000,132,5,34400,Lunel,Occitanie,1128.7878787878788,3805.4817497122735
364,Appartement 4 pièces 78 m²,498000,78,4,92120,Montrouge,Île-de-France,6384.615384615385,5475.549796070834
365,Appartement 4 pièces 87 m²,399000,87,4,69003,Lyon 3,Auvergne-Rhône-Alpes,4586.206896551724,3987.6716210996815
366,Appartement 4 pièces 71 m²,86400,71,4,25400,Audincourt,Bourgogne-Franche-Comté,1216.901408450704,1972.3694248603445
367,Appartement 1 pièce 23 m²,116990,23,1,33000,Bordeaux,Nouvelle-Aquitaine,5086.521739130435,4643.733694870073
368,Appartement 3 pièces 75 m²,530000,75,3,6400,Cannes,Nouvelle-Aquitaine,7066.666666666667,4643.733694870073
369,Appartement 2 pièces 44 m²,120000,44,2,74460,Marnaz,Auvergne-Rhône-Alpes,2727.2727272727275,3987.6716210996815
370,Appartement 3 pièces 90 m²,605000,90,3,13008,Marseille 8,Provence-Alpes-Côte d'Azur,6722.222222222223,4259.945365227293
371,Appartement 2 pièces 41 m²,74000,41,2,42300,Roanne,Auvergne-Rhône-Alpes,1804.878048780488,3987.6716210996815
372,Appartement 3 pièces 98 m²,380000,98,3,30000,Nîmes,Occitanie,3877.5510204081634,3805.4817497122735
373,Appartement 1 pièce 32 m²,94000,32,1,40990,Saint-Paul-Lès-Dax,Nouvelle-Aquitaine,2937.5,4643.733694870073
374,Appartement 4 pièces 79 m²,365000,79,4,92310,Sèvres,Île-de-France,4620.2531645569625,5475.549796070834
375,Appartement 3 pièces 45 m²,150000,45,3,11100,Narbonne Plage,Occitanie,3333.333333333333,3805.4817497122735
376,Appartement 4 pièces 116 m²,680000,116,4,83600,Fréjus,Provence-Alpes-Côte d'Azur,5862.068965517241,4259.945365227293
377,Appartement 3 pièces 56 m²,224000,56,3,29100,Douarnenez,Bretagne,4000.0,4351.405381831158
378,Appartement 5 pièces 89 m²,415000,89,5,92310,Sèvres,Île-de-France,4662.921348314607,5475.549796070834
379,Appartement 2 pièces 58 m²,255000,58,2,69007,Lyon 7,Auvergne-Rhône-Alpes,4396.551724137931,3987.6716210996815
380,Appartement 3 pièces 58 m²,429000,58,3,56000,Vannes,Bretagne,7396.551724137931,4351.405381831158
381,Appartement 3 pièces 58 m²,403000,58,3,56000,Vannes,Bretagne,6948.275862068966,4351.405381831158
382,Appartement 3 pièces 57 m²,182000,57,3,31000,Toulouse,Occitanie,3192.9824561403507,3805.4817497122735
383,Appartement 4 pièces 61 m²,167000,61,4,76100,Rouen,Normandie,2737.7049180327867,3493.366335119261
384,Appartement 3 pièces 65 m²,825000,65,3,75006,Paris 6,Île-de-France,12692.307692307691,5475.549796070834
385,Appartement 5 pièces 137 m²,849000,137,5,69002,Lyon 2,Auvergne-Rhône-Alpes,6197.080291970803,3987.6716210996815
386,Appartement 1 pièce 23 m²,157290,23,1,20169,Bonifacio,Corse,6838.695652173913,4351.915385731174
387,Appartement 3 pièces 52 m²,120990,52,3,28630,Le Coudray,Centre-Val de Loire,2326.730769230769,2450.691365675368
388,Appartement 3 pièces 69 m²,125990,69,3,28630,Le Coudray,Centre-Val de Loire,1825.9420289855072,2450.691365675368
